dv,Mode by outcome,1,2,3,4,5
Advanced narrative structures,Handwriting,1.83 [1.26 -- 2.65],1.9 [1.34 -- 2.66],3.33 [2.42 -- 4.52],3.72 [2.69 -- 5.06],3.52 [2.49 -- 4.86]
Advanced narrative structures,Digital,1.26 [0.86 -- 1.84],1.56 [1.1 -- 2.19],2.52 [1.84 -- 3.46],2.96 [2.17 -- 4.06],3.62 [2.62 -- 5.03]
Event count,Handwriting,1.95 [1.32 -- 2.87],2.71 [1.88 -- 3.9],3.57 [2.52 -- 5.05],4.29 [3.02 -- 6.03],4.24 [2.97 -- 6.05]
Event count,Digital,1.42 [0.94 -- 2.12],1.98 [1.36 -- 2.86],3.39 [2.4 -- 4.8],3.84 [2.72 -- 5.41],4.31 [3.02 -- 6.12]
Number of spaces,Handwriting,10.86 [7.93 -- 14.96],15.51 [11.46 -- 21.17],19.55 [14.51 -- 26.39],26.93 [19.99 -- 36.34],27.88 [20.52 -- 38.02]
Number of spaces,Digital,12.58 [9.18 -- 17.39],17.13 [12.65 -- 23.42],21.36 [15.81 -- 28.98],26.76 [19.87 -- 36.55],32.03 [23.51 -- 44.2]
Number of terminators,Handwriting,0.33 [0.08 -- 1.26],0.82 [0.22 -- 2.99],1.19 [0.32 -- 4.22],1.33 [0.35 -- 4.8],1.03 [0.26 -- 3.81]
Number of terminators,Digital,1.93 [0.51 -- 6.89],1.19 [0.32 -- 4.21],1.37 [0.37 -- 4.85],1.49 [0.4 -- 5.33],1.43 [0.38 -- 5.23]
Number of words,Handwriting,14.04 [10.65 -- 18.45],18.96 [14.53 -- 24.62],22.53 [17.31 -- 29.19],29.96 [22.85 -- 38.88],31.05 [23.58 -- 40.58]
Number of words,Digital,14.73 [11.21 -- 19.19],19.63 [15.14 -- 25.29],24.54 [18.98 -- 31.61],29.3 [22.56 -- 37.76],34.5 [26.42 -- 44.7]
Story grammar,Handwriting,0.63 [0.43 -- 0.9],0.87 [0.63 -- 1.21],1.25 [0.92 -- 1.67],1.42 [1.05 -- 1.88],1.23 [0.9 -- 1.66]
Story grammar,Digital,0.47 [0.31 -- 0.7],0.79 [0.55 -- 1.1],1.16 [0.85 -- 1.57],1.35 [1 -- 1.82],1.47 [1.08 -- 1.98]
Syntactic complexity,Handwriting,2.15 [1.52 -- 2.95],2.95 [2.14 -- 3.98],4.28 [3.14 -- 5.7],5.61 [4.13 -- 7.4],5.85 [4.3 -- 7.79]
Syntactic complexity,Digital,2.04 [1.47 -- 2.86],2.82 [2.07 -- 3.87],4.53 [3.4 -- 6.11],5.04 [3.79 -- 6.76],6.2 [4.66 -- 8.32]
